id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG43179,Mesmer e il magnetismo: La vita italiana durante la Rivoluzione francese e l'Impero,"Mosso, A. (Angelo)",1846,1910,['it'],8,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43180,Vincenzo Monti (1754-1828): La vita italiana durante la Rivoluzione francese e l'Impero,"Masi, Ernesto",1837,1908,['it'],2,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43181,La musica: La vita italiana durante la Rivoluzione francese e l'Impero,"Panzacchi, Enrico",1840,1904,['it'],5,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43182,Napoleone: La vita italiana durante la Rivoluzione francese e l'Impero,"Barrili, Anton Giulio",1836,1908,['it'],17,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43183,La Repubblica partenopea: La vita italiana durante la Rivoluzione francese e l'Impero,"Pompilj, Guido",1854,1910,['it'],11,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43184,La trasformazione sociale: La vita italiana durante la Rivoluzione francese e l'Impero,"Nitti, Francesco Saverio",1868,1953,['it'],5,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43185,By Force of Impulse: A Drama in Five Acts,"Vogt, Harry V.",,,['en'],3,{'Drama'},Text
PG43186,Walking Shadows: Sea Tales and Others,"Noyes, Alfred",1880,1958,['en'],19,"{'World War, 1914-1918 -- Fiction', 'Short stories, English', 'Sea stories, English'}",Text
PG43187,The Harlequin Opal: A Romance. Vol. 1 (of 3),"Hume, Fergus",1859,1932,['en'],19,{'Central America -- Fiction'},Text
PG43188,The Harlequin Opal: A Romance. Vol. 2 (of 3),"Hume, Fergus",1859,1932,['en'],12,{'Central America -- Fiction'},Text
PG43189,The Harlequin Opal: A Romance. Vol. 3 (of 3),"Hume, Fergus",1859,1932,['en'],9,{'Central America -- Fiction'},Text
PG43190,Blade-O'-Grass. Golden Grain. and Bread and Cheese and Kisses.,"Farjeon, B. L. (Benjamin Leopold)",1833,1903,['en'],7,"{'Fiction', 'Christmas stories'}",Text
PG43191,Pflege und Zucht der Zwergpapageien und Sittiche: Kurze Anleitung zur Behandlung und Pflege,"Bungartz, Jean",1854,1934,['de'],1,{'Parrots'},Text
PG43192,"Afterwards, and Other Stories","Maclaren, Ian",1850,1907,['en'],11,"{'Great Britain -- Social life and customs -- 19th century -- Fiction', 'Short stories'}",Text
PG43193,Conferenze tenute a Firenze nel 1896: La vita italiana durante la Rivoluzione francese e l'Impero,Various,,,['it'],9,"{'Italy -- Civilization', 'Italy -- History -- 1789-1815', 'France -- History -- 1789-1815', 'Italy -- Social conditions'}",Text
PG43194,A fészek regényei: Elbeszélések,"Mikszáth, Kálmán",1847,1910,['hu'],11,{'Fiction'},Text
PG43195,Chaucerian and Other Pieces: Being a Supplement to the Complete Works of Geoffrey Chaucer,,,,['en'],10,"{'Chaucer, Geoffrey, -1400'}",Text
PG43196,La Renaissance Italienne et la Philosophie de l'Histoire,"Gebhart, Emile",1839,1908,['fr'],11,"{'History -- Philosophy', 'Renaissance -- Italy'}",Text
PG43197,The Golden Boys and Their New Electric Cell,"Wyman, L. P. (Levi Parker)",1873,,['en'],27,"{'Racing -- Juvenile fiction', 'Inventors -- Juvenile fiction', 'Kidnapping -- Juvenile fiction', 'Mystery and detective stories'}",Text
PG43198,Samuel Boyd of Catchpole Square: A Mystery,"Farjeon, B. L. (Benjamin Leopold)",1833,1903,['en'],16,"{'Detective and mystery stories', 'London (England) -- Fiction'}",Text
PG43199,The Last Tenant,"Farjeon, B. L. (Benjamin Leopold)",1833,1903,['en'],12,"{'Haunted houses -- Fiction', 'London (England) -- Fiction'}",Text
PG43200,"Cornell Nature-Study Leaflets: Being a selection, with revision, from the teachers' leaflets, home nature-study lessons, junior naturalist monthlies and other publications from the College of Agriculture, Cornell University, Ithaca, N.Y., 1896-1904",New York State College of Agriculture,,,['en'],18,"{'Nature study', 'Natural history'}",Text
PG43201,Multiplied Blessings: Eighteen Short Readings,"Hoare, Edward",1812,1894,['en'],6,"{'Sermons, English -- Excerpts'}",Text
PG43202,"The Endowed Charities of Kensington: By Whom Bequeathed, and How Administered","Daniel, Edward Morton",1848,,['en'],8,{'Charities -- England -- London'},Text
PG43203,"Kensington, Notting Hill, and Paddington: With Remembrances of the Locality 38 Years Ago",An Old Inhabitant,,,['en'],5,{'London (England) -- History'},Text
PG43204,"The Motor Boys in Mexico; Or, The Secret of the Buried City","Young, Clarence",,,['en'],11,"{'Automobiles -- Juvenile fiction', 'Extinct cities -- Juvenile fiction', 'Brigands and robbers -- Juvenile fiction', 'Mexico -- Juvenile fiction', 'Automobile travel -- Juvenile fiction'}",Text
PG43205,Is the Devil a Myth?,"Wimberly, C. F. (Charles Franklin)",1866,1946,['en'],30,"{'Devil', 'Good and evil'}",Text
PG43206,"The Breaking Crucible, and Other Translations of German Hymns",,,,['en'],7,"{'Hymns, German -- Translations into English'}",Text
PG43207,Scenes and Characters from the Works of Charles Dickens: Being Eight Hundred and Sixty-six Pictures Printed from the Original Wood Blocks,"Dickens, Charles",1812,1870,['en'],60,"{'Dickens, Charles, 1812-1870 -- Illustrations'}",Text
PG43208,Music in the History of the Western Church: With an Introduction on Religious Music Among Primitive and Ancient Peoples,"Dickinson, Edward",1853,1946,['en'],101,{'Church music'},Text
PG43209,In the Track of R. L. Stevenson and Elsewhere in Old France,"Hammerton, John Alexander, Sir",1871,1949,['en'],6,"{'France -- Description and travel', 'Cévennes Mountains (France)', 'Stevenson, Robert Louis, 1850-1894 -- Travel -- France'}",Text
PG43210,The War-Trail Fort: Further Adventures of Thomas Fox and Pitamakan,"Schultz, James Willard",1859,1947,['en'],10,{'Indians of North America -- Fiction'},Text
PG43211,English Economic History: Select Documents,,,,['en'],23,"{'Great Britain -- Economic conditions', 'Great Britain -- Social conditions'}",Text
PG43212,Fairy Tales from Spain,"Muñoz Escámez, José",,,['en'],47,{'Fairy tales'},Text
PG43213,Anno 2070: Een blik in de toekomst,"Dioscorides, Dr.",1812,1885,['nl'],9,{'Science fiction'},Text
PG43214,"Dr. Arne and Rule, Britannia","Cummings, William Hayman",1831,1915,['en'],12,"{'Arne, Thomas Augustine, 1710-1778'}",Text
PG43215,Ivanhoe,"Scott, Walter",1771,1832,['fi'],20,"{'Normans -- Great Britain -- Fiction', 'Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction', 'Love stories', 'Great Britain -- History -- Richard I, 1189-1199 -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Knights and knighthood -- Fiction', 'Jews -- England -- Fiction', 'Anglo-Saxons -- Fiction', 'Historical fiction'}",Text
